Holiday_Date,Holiday_Name,Area
2024-01-01,New Year's Day,North
2024-01-01,New Year's Day,South
2024-01-01,New Year's Day,East
2024-01-01,New Year's Day,West
2024-03-29,Good Friday,North
2024-03-29,Good Friday,South
2024-03-29,Good Friday,East
2024-03-29,Good Friday,West
2024-03-31,Easter Sunday,North
2024-03-31,Easter Sunday,South
2024-03-31,Easter Sunday,East
2024-03-31,Easter Sunday,West
2024-01-15,North Regional Fair,North
2024-02-05,South Carnival,South
2024-02-12,East Foundation Day,East
2024-02-19,West Heritage Day,West
2024-02-14,Valentine's Promo,North
2024-02-14,Valentine's Promo,South
2024-02-14,Valentine's Promo,East
2024-02-14,Valentine's Promo,West
2024-03-08,Women's Day,North
2024-03-08,Women's Day,South
2024-03-08,Women's Day,East
2024-03-08,Women's Day,West
2024-03-19,North Spring Festival,North
2024-03-25,South Easter Monday,South
2024-01-20,East Winter Fest,East
2024-03-04,West Trade Fair,West
