Date,Area,SKU,Sales_Value,Units,Promo_Type
2024-01-01,North,SKU-001,1146.43,39,None
2024-01-01,North,SKU-002,721.25,11,None
2024-01-01,North,SKU-003,4645.78,87,Flash Sale
2024-01-01,North,SKU-004,2765.43,108,None
2024-01-01,North,SKU-005,4140.56,164,Flash Sale
2024-01-01,North,SKU-006,2210.52,55,BOGO
2024-01-01,North,SKU-007,2440.19,44,BOGO
2024-01-01,North,SKU-008,5423.43,108,None
2024-01-01,North,SKU-009,1914.82,56,Flash Sale
2024-01-01,North,SKU-010,6525.44,107,BOGO
2024-01-01,South,SKU-001,1503.08,23,None
2024-01-01,South,SKU-002,804.06,11,None
2024-01-01,South,SKU-003,4766.16,84,Flash Sale
2024-01-01,South,SKU-004,3468.55,91,BOGO
2024-01-01,South,SKU-005,3522.31,59,Discount
2024-01-01,South,SKU-006,1714.72,65,None
2024-01-01,South,SKU-007,1622.21,40,Discount
2024-01-01,South,SKU-008,7467.31,107,Discount
2024-01-01,South,SKU-009,1080.64,63,None
2024-01-01,South,SKU-010,6079.37,314,BOGO
2024-01-01,East,SKU-001,1999.51,42,BOGO
2024-01-01,East,SKU-002,784.46,32,Bundle
2024-01-01,East,SKU-003,4235.02,98,Discount
2024-01-01,East,SKU-004,4498.56,56,Flash Sale
2024-01-01,East,SKU-005,2336.87,111,None
2024-01-01,East,SKU-006,1880.32,75,None
2024-01-01,East,SKU-007,1495.44,35,None
2024-01-01,East,SKU-008,4738.06,88,None
2024-01-01,East,SKU-009,1593.95,20,Bundle
2024-01-01,East,SKU-010,4241.28,188,None
2024-01-01,West,SKU-001,2189.19,58,Discount
2024-01-01,West,SKU-002,959.88,21,Discount
2024-01-01,West,SKU-003,4581.7,71,Discount
2024-01-01,West,SKU-004,2877.41,83,None
2024-01-01,West,SKU-005,2806.61,43,Discount
2024-01-01,West,SKU-006,1708.03,36,None
2024-01-01,West,SKU-007,1568.83,21,None
2024-01-01,West,SKU-008,6229.08,203,Discount
2024-01-01,West,SKU-009,1011.12,21,None
2024-01-01,West,SKU-010,4712.36,94,None
2024-01-02,North,SKU-001,1202.12,26,None
2024-01-02,North,SKU-002,637.84,8,None
2024-01-02,North,SKU-003,6202.28,82,Flash Sale
2024-01-02,North,SKU-004,3807.24,93,Discount
2024-01-02,North,SKU-005,3632.57,74,BOGO
2024-01-02,North,SKU-006,1477.32,77,None
2024-01-02,North,SKU-007,1386.3,46,None
2024-01-02,North,SKU-008,5583.04,91,Discount
2024-01-02,North,SKU-009,1080.59,14,None
2024-01-02,North,SKU-010,5243.08,172,BOGO
2024-01-02,South,SKU-001,1625.78,68,Bundle
2024-01-02,South,SKU-002,821.12,17,Bundle
2024-01-02,South,SKU-003,4582.95,215,Flash Sale
2024-01-02,South,SKU-004,4483.9,107,Flash Sale
2024-01-02,South,SKU-005,2489.44,31,None
2024-01-02,South,SKU-006,1354.23,21,None
2024-01-02,South,SKU-007,1204.38,44,None
2024-01-02,South,SKU-008,5527.75,205,Bundle
2024-01-02,South,SKU-009,1417.92,18,Bundle
2024-01-02,South,SKU-010,5776.44,81,Bundle
2024-01-02,East,SKU-001,1158.17,14,None
2024-01-02,East,SKU-002,836.07,11,None
2024-01-02,East,SKU-003,3339.76,71,Discount
2024-01-02,East,SKU-004,4020.14,54,Discount
